"","size","fill","velocity","last_step","final_t"
"1","med",0.15,-0.1,2.6e+08,230764.95
"2","med",0.15,-0.25,9e+07,91632.6
"3","med",0.15,-0.5,5.3e+07,85378.76
"4","med",0.15,-0.75,30600000,48866.5
"5","med",0.15,-1,19800000,36848.13
"6","med",0.25,-0.1,2.92e+08,215014.93
"7","med",0.25,-0.25,1.06e+08,80637.38
"8","med",0.25,-0.5,7.1e+07,256792.8
"9","med",0.25,-0.75,33750000,107148
"10","big",0.15,-0.1,4.04e+08,NA
"11","big",0.15,-0.25,1.92e+08,254860.8
"12","big",0.15,-0.5,1e+08,355862.5
"13","big",0.15,-0.75,49500000,106223.7
"14","big",0.15,-1,37800000,79660.35
"15","big",0.25,-0.1,NA,NA
"16","big",0.25,-0.25,289520000,NA
"17","big",0.25,-0.5,119400000,117761.83
"18","big",0.25,-0.75,57500000,NA
"19","big",0.25,-1,6e+07,385037
"20","big",0.35,-0.1,246240000,NA
"21","big",0.35,-0.25,1.5e+08,NA
"22","big",0.35,-0.5,74900000,NA
"23","big",0.35,-0.75,56700000,NA
"24","big",0.35,-1,8e+07,287571
"25","med",0.25,-1,3e+07,69190.4
"26","med",0.35,-0.1,321920000,NA
"27","med",0.35,-0.25,126400000,116423.88
"28","med",0.35,-0.5,55800000,345776.9
"29","med",0.35,-0.75,39960000,248743
"30","med",0.35,-1,3e+07,187084
